author_ID	OpenAlex_Author_ID	author_name_for_internal_ID	ID_assignment_method
PA_AUTH_0000001	https://openalex.org/A1262079633	pablo kreimer	OpenAlex_Author_ID
PA_AUTH_0000002	https://openalex.org/A1538137606	andreas balthasar	OpenAlex_Author_ID
PA_AUTH_0000003	https://openalex.org/A1836724164	stanislav provazník	OpenAlex_Author_ID
PA_AUTH_0000004	https://openalex.org/A1898050280	putu kerti nitiasih	OpenAlex_Author_ID
PA_AUTH_0000005	https://openalex.org/A1966335935	thomas a. brzustowski	OpenAlex_Author_ID
PA_AUTH_0000006	https://openalex.org/A1971025415	stefano maria iacus	OpenAlex_Author_ID
PA_AUTH_0000007	https://openalex.org/A1972626571	enio luiz spaniol	OpenAlex_Author_ID
PA_AUTH_0000008	https://openalex.org/A1973118133	adolf filacek	OpenAlex_Author_ID
PA_AUTH_0000009	https://openalex.org/A1975039621	luh putu artini	OpenAlex_Author_ID
PA_AUTH_0000010	https://openalex.org/A1987383977	jane cruz prates	OpenAlex_Author_ID
PA_AUTH_0000011	https://openalex.org/A1987638585	luiz gustavo libório vianna	OpenAlex_Author_ID
PA_AUTH_0000012	https://openalex.org/A1990445895	anantawikrama tungga atmadja	OpenAlex_Author_ID
PA_AUTH_0000013	https://openalex.org/A1996494473	christoph bättig	OpenAlex_Author_ID
PA_AUTH_0000014	https://openalex.org/A2007442899	jirí loudin	OpenAlex_Author_ID
PA_AUTH_0000015	https://openalex.org/A2008708256	pedro abarca	OpenAlex_Author_ID
PA_AUTH_0000016	https://openalex.org/A2009458713	carlos santamaría	OpenAlex_Author_ID
PA_AUTH_0000017	https://openalex.org/A2018653068	gianluca murgia	OpenAlex_Author_ID
PA_AUTH_0000018	https://openalex.org/A2030763877	shahlan surat	OpenAlex_Author_ID
PA_AUTH_0000019	https://openalex.org/A2030901301	ana viseu	OpenAlex_Author_ID
PA_AUTH_0000020	https://openalex.org/A2041254064	amiya bhaumik	OpenAlex_Author_ID
PA_AUTH_0000021	https://openalex.org/A2045898802	florence heber	OpenAlex_Author_ID
