publication_ID	author_ID	work_OpenAlex_ID	source_file	author_name_full	author_name_display	author_name_raw	OpenAlex_Author_ID	ORCID	Position	Countries	Institutions	Affiliations	author_name_display_clean	author_name_recovered_from_full	author_name_for_internal_ID
PA_PUB_0053931	PA_AUTH_0029611	https://openalex.org/W2001330817	ADMINSOC_openalex.tsv	Brian Head (Brian W. Head)	Brian Head	Brian W. Head	https://openalex.org/A5036363269	https://orcid.org/0000-0002-9915-0628	first	AU	The University of Queensland ### ID: https://openalex.org/I165143802 ### ROR: https://ror.org/00rqy9422 ### Type: education	"University of Queensland, St Lucia, Australia"	Brian Head		brian head
PA_PUB_0053931	PA_AUTH_0021979	https://openalex.org/W2001330817	ADMINSOC_openalex.tsv	John Alford (John Alford)	John Alford	John Alford	https://openalex.org/A5026984273	https://orcid.org/0009-0006-0195-4414	last	AU	Australia and New Zealand School of Government ### ID: https://openalex.org/I40676200 ### ROR: https://ror.org/04k2gzh89 ### Type: education || The University of Melbourne ### ID: https://openalex.org/I165779595 ### ROR: https://ror.org/01ej9dk98 ### Type: education	"2University of Melbourne, Victoria, Australia#TAB#3The Australia and New Zealand School of Government, Victoria, Australia"	John Alford		john alford
PA_PUB_0037831	PA_AUTH_0079537	https://openalex.org/W2030537285	ADMINSOC_openalex.tsv	Torben Beck Jørgensen (Torben Beck Jørgensen)	Torben Beck Jørgensen	Torben Beck Jørgensen	https://openalex.org/A5104105895		first	DK	University of Copenhagen ### ID: https://openalex.org/I124055696 ### ROR: https://ror.org/035b05819 ### Type: education	"University of Copenhagen, Denmark"	Torben Beck Jørgensen		torben beck jørgensen
PA_PUB_0037831	PA_AUTH_0006729	https://openalex.org/W2030537285	ADMINSOC_openalex.tsv	Barry Bozeman (Barry Bozeman)	Barry Bozeman	Barry Bozeman	https://openalex.org/A5008083587	https://orcid.org/0000-0002-8084-3379	last	"DK, US"	University of Copenhagen ### ID: https://openalex.org/I124055696 ### ROR: https://ror.org/035b05819 ### Type: education || University of Georgia ### ID: https://openalex.org/I165733156 ### ROR: https://ror.org/00te3t702 ### Type: education	"The University of Georgia, Athens University of Copenhagen, Denmark,"	Barry Bozeman		barry bozeman
PA_PUB_0046681	PA_AUTH_0049519	https://openalex.org/W2111282195	ADMINSOC_openalex.tsv	Eva Sørensen (Eva Sørensen)	Eva Sørensen	Eva Sørensen	https://openalex.org/A5060969324	https://orcid.org/0000-0003-4845-9665	first	DK	Roskilde University ### ID: https://openalex.org/I107707843 ### ROR: https://ror.org/014axpa37 ### Type: education	"Roskilde University, Roskilde, Denmark"	Eva Sørensen		eva sørensen
PA_PUB_0046681	PA_AUTH_0071258	https://openalex.org/W2111282195	ADMINSOC_openalex.tsv	Jacob Torfing (Jacob Torfing)	Jacob Torfing	Jacob Torfing	https://openalex.org/A5087469637	https://orcid.org/0000-0002-9627-086X	last	DK	Roskilde University ### ID: https://openalex.org/I107707843 ### ROR: https://ror.org/014axpa37 ### Type: education	"Roskilde University, Roskilde, Denmark"	Jacob Torfing		jacob torfing
PA_PUB_0037121	PA_AUTH_0025248	https://openalex.org/W2063983969	ADMINSOC_openalex.tsv	Mirko Noordegraaf (Mirko Noordegraaf)	Mirko Noordegraaf	Mirko Noordegraaf	https://openalex.org/A5030969691	https://orcid.org/0000-0002-3445-8568	first	NL	Utrecht University ### ID: https://openalex.org/I193662353 ### ROR: https://ror.org/04pp8hn57 ### Type: education	"(University of Utrecht, Netherlands)"	Mirko Noordegraaf		mirko noordegraaf
PA_PUB_0062906	PA_AUTH_0071258	https://openalex.org/W2557276327	ADMINSOC_openalex.tsv	Jacob Torfing (Jacob Torfing)	Jacob Torfing	Jacob Torfing	https://openalex.org/A5087469637	https://orcid.org/0000-0002-9627-086X	first	"DK, NO"	Roskilde University ### ID: https://openalex.org/I107707843 ### ROR: https://ror.org/014axpa37 ### Type: education || Nord University ### ID: https://openalex.org/I2802079931 ### ROR: https://ror.org/030mwrt98 ### Type: education	"NORD University, Norway#TAB#Roskilde University, Denmark"	Jacob Torfing		jacob torfing
PA_PUB_0062906	PA_AUTH_0049519	https://openalex.org/W2557276327	ADMINSOC_openalex.tsv	Eva Sørensen (Eva Sørensen)	Eva Sørensen	Eva Sørensen	https://openalex.org/A5060969324	https://orcid.org/0000-0003-4845-9665	middle	"DK, NO"	Roskilde University ### ID: https://openalex.org/I107707843 ### ROR: https://ror.org/014axpa37 ### Type: education || Nord University ### ID: https://openalex.org/I2802079931 ### ROR: https://ror.org/030mwrt98 ### Type: education	"NORD University, Norway#TAB#Roskilde University, Denmark"	Eva Sørensen		eva sørensen
PA_PUB_0062906	PA_AUTH_0032364	https://openalex.org/W2557276327	ADMINSOC_openalex.tsv	Asbjørn Roiseland (Asbjørn Røiseland)	Asbjørn Roiseland	Asbjørn Røiseland	https://openalex.org/A5039754829	https://orcid.org/0000-0002-4282-9365	last	NO	Nord University ### ID: https://openalex.org/I2802079931 ### ROR: https://ror.org/030mwrt98 ### Type: education	"NORD University, Norway"	Asbjørn Roiseland		asbjørn roiseland
