publication_ID	author_ID	OpenAlex_Author_ID	author_name_display_clean	author_name_full	Institution	OpenAlex_Institution_ID	ROR	Type	Affiliation	Second_Institution	Second_OpenAlex_Institution_ID	Second_ROR	Second_Type	Second_Affiliation	Third_Institution	Third_OpenAlex_Institution_ID	Third_ROR	Third_Type	Third_Affiliation	Fourth_Institution	Fourth_OpenAlex_Institution_ID	Fourth_ROR	Fourth_Type	Fourth_Affiliation	Fifth_Institution	Fifth_OpenAlex_Institution_ID	Fifth_ROR	Fifth_Type	Fifth_Affiliation	Sixth_Institution	Sixth_OpenAlex_Institution_ID	Sixth_ROR	Sixth_Type	Sixth_Affiliation	Seventh_Institution	Seventh_OpenAlex_Institution_ID	Seventh_ROR	Seventh_Type	Seventh_Affiliation	Eighth_Institution	Eighth_OpenAlex_Institution_ID	Eighth_ROR	Eighth_Type	Eighth_Affiliation	Ninth_Institution	Ninth_OpenAlex_Institution_ID	Ninth_ROR	Ninth_Type	Ninth_Affiliation	Tenth_Institution	Tenth_OpenAlex_Institution_ID	Tenth_ROR	Tenth_Type	Tenth_Affiliation	Eleventh_Institution	Eleventh_OpenAlex_Institution_ID	Eleventh_ROR	Eleventh_Type	Eleventh_Affiliation	Twelfth_Institution	Twelfth_OpenAlex_Institution_ID	Twelfth_ROR	Twelfth_Type	Twelfth_Affiliation	Thirteenth_Institution	Thirteenth_OpenAlex_Institution_ID	Thirteenth_ROR	Thirteenth_Type	Thirteenth_Affiliation	Fourteenth_Institution	Fourteenth_OpenAlex_Institution_ID	Fourteenth_ROR	Fourteenth_Type	Fourteenth_Affiliation
PA_PUB_0053931	PA_AUTH_0029611	https://openalex.org/A5036363269	Brian Head	Brian Head (Brian W. Head)	The University of Queensland	https://openalex.org/I165143802	https://ror.org/00rqy9422	education	"University of Queensland, St Lucia, Australia"																																																																	
PA_PUB_0053931	PA_AUTH_0021979	https://openalex.org/A5026984273	John Alford	John Alford (John Alford)	Australia and New Zealand School of Government	https://openalex.org/I40676200	https://ror.org/04k2gzh89	education	"University of Melbourne, Victoria, Australia"	The University of Melbourne	https://openalex.org/I165779595	https://ror.org/01ej9dk98	education	"The Australia and New Zealand School of Government, Victoria, Australia"																																																												
PA_PUB_0037831	PA_AUTH_0079537	https://openalex.org/A5104105895	Torben Beck Jørgensen	Torben Beck Jørgensen (Torben Beck Jørgensen)	University of Copenhagen	https://openalex.org/I124055696	https://ror.org/035b05819	education	"University of Copenhagen, Denmark"																																																																	
PA_PUB_0037831	PA_AUTH_0006729	https://openalex.org/A5008083587	Barry Bozeman	Barry Bozeman (Barry Bozeman)	University of Copenhagen	https://openalex.org/I124055696	https://ror.org/035b05819	education	"The University of Georgia, Athens University of Copenhagen, Denmark,"	University of Georgia	https://openalex.org/I165733156	https://ror.org/00te3t702	education																																																													
PA_PUB_0046681	PA_AUTH_0049519	https://openalex.org/A5060969324	Eva Sørensen	Eva Sørensen (Eva Sørensen)	Roskilde University	https://openalex.org/I107707843	https://ror.org/014axpa37	education	"Roskilde University, Roskilde, Denmark"																																																																	
PA_PUB_0046681	PA_AUTH_0071258	https://openalex.org/A5087469637	Jacob Torfing	Jacob Torfing (Jacob Torfing)	Roskilde University	https://openalex.org/I107707843	https://ror.org/014axpa37	education	"Roskilde University, Roskilde, Denmark"																																																																	
PA_PUB_0037121	PA_AUTH_0025248	https://openalex.org/A5030969691	Mirko Noordegraaf	Mirko Noordegraaf (Mirko Noordegraaf)	Utrecht University	https://openalex.org/I193662353	https://ror.org/04pp8hn57	education	"(University of Utrecht, Netherlands)"																																																																	
PA_PUB_0062906	PA_AUTH_0071258	https://openalex.org/A5087469637	Jacob Torfing	Jacob Torfing (Jacob Torfing)	Roskilde University	https://openalex.org/I107707843	https://ror.org/014axpa37	education	"NORD University, Norway"	Nord University	https://openalex.org/I2802079931	https://ror.org/030mwrt98	education	"Roskilde University, Denmark"																																																												
PA_PUB_0062906	PA_AUTH_0049519	https://openalex.org/A5060969324	Eva Sørensen	Eva Sørensen (Eva Sørensen)	Roskilde University	https://openalex.org/I107707843	https://ror.org/014axpa37	education	"NORD University, Norway"	Nord University	https://openalex.org/I2802079931	https://ror.org/030mwrt98	education	"Roskilde University, Denmark"																																																												
PA_PUB_0062906	PA_AUTH_0032364	https://openalex.org/A5039754829	Asbjørn Roiseland	Asbjørn Roiseland (Asbjørn Røiseland)	Nord University	https://openalex.org/I2802079931	https://ror.org/030mwrt98	education	"NORD University, Norway"																																																																	
