publication_ID	source_file	Pages	Type	Volume	DOI	Issue	OpenAlex_ID	OA_Licence	Authors	Is_OA	Title	Abstract	Corresponding_Institutions	Grants	OA_Status	Year	Referenced_Works	Is_Paratext	OA_URL	Language	Journal	Cited_by	Corresponding_Authors
PA_PUB_0000001	CANPUB_openalex.tsv	421-421	article	6	https://doi.org/10.2307/3550028	2	https://openalex.org/W2326187527		Panayotis Soldatos (P. Soldatos); Author_ID: https://openalex.org/A5017797910; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A | K. Valaskakis (K. Valaskakis); Author_ID: https://openalex.org/A5082194576; ORCID: None; Position: last; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	'L'Option Europe'; analyse de la plausibilité d'une association Québec / Canada/Europe				closed	1980		FALSE		fr	Canadian Public Policy	0	
PA_PUB_0000002	CANPUB_openalex.tsv	106-106	article	6	https://doi.org/10.2307/3550073	1	https://openalex.org/W2001934765		Richard J. Joy (Richard J. Joy); Author_ID: https://openalex.org/A5035394807; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Demographic View on Canadian Language Policy: A Comment				closed	1980		FALSE		en	Canadian Public Policy	1	https://openalex.org/A5035394807
PA_PUB_0000003	PAR_openalex.tsv	222-222	article	40	https://doi.org/10.2307/975374	3	https://openalex.org/W2333030066		Michael D. Joehnk (Michael D. Joehnk); Author_ID: https://openalex.org/A5057018159; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A | David S. Kidwell (David S. Kidwell); Author_ID: https://openalex.org/A5078792126; ORCID: None; Position: last; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Look at Competitive and Negotiated Underwriting Costs in the Municipal Bond Market	"sample and those responding was such as to give confidence that the findings reported are representative of Washington State employees as a whole. 15. Richard Clingenpeel, How Employees Feel About Appraisal, Personnel, Vol. 39, No. 3 (May/June 1962), p. 73 (pp. 70-77). 16. Raymond Van Zelst and Willard Kerr, Workers' Attitudes Toward Merit Rating, Personnel Psychology, Vol. 6 (1953), pp. 159 and 170 (pp. 159-172). 17. For an informative discussion of research findings and a thorough listing of sources relevant to the diverse effects of organizational setting upon the operation of performance appraisal programs see: Public Services Laboratory, Do Productivity Measures Pay Off for Employee Performance? (Washington, D.C.: Georgetown University, 1975), esp. pp. 69-88. 18. Paul Thompson and Gene Dalton, Performance Appraisal: Managers Beware, Harvard Business Review, Vol. 48, No. 1 (January/February 1970), pp. 149-157. 19. C. J. Coleman, Avoiding the Pitfalls in Results-Oriented Appraisals, Personnel, Vol. 39, No. 6 (November/ December 1962), pp. 24-33. 20. J. M. Michael, Problem Situations in Counseling, Personnel, Vol. 42, No. 5 (September/October 1965), pp. 16-22. 21. Readers who are interested in such questions can communicate directly with the Division of Governmental Studies and Services at Washington State University. A number of worldng papers and supplementary analyses are currently in preparation on these and related issues."			closed	1980	https://openalex.org/W1980040830 | https://openalex.org/W2049228437 | https://openalex.org/W1524896244 | https://openalex.org/W2796862836 | https://openalex.org/W2111134917 | https://openalex.org/W1574672380	FALSE		en	Public Administration Review	19	
PA_PUB_0000004	AJPA_openalex.tsv	70-88	article	39	https://doi.org/10.1111/j.1467-8500.1980.tb00892.x	1	https://openalex.org/W2155234861		R. W. Archer (R. W. Archer); Author_ID: https://openalex.org/A5104350788; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A MUNICIPAL LAND POOLING PROJECT IN PERTH	"Planning control of urban land use in most of the Australian States is by the planning scheme system and is authorized by legislation based on the English Town and Country Planning Act, 1932. Under this system each planning authority prepares a land use zoning and reservation plan designed to accommodate the forecast urban growth. It then reviews and regulates the proposals for urban development projects as they are brought forward to ensure that they conform to the plan."			closed	1980	https://openalex.org/W2168420475 | https://openalex.org/W2039657628	FALSE		en	Australian Journal of Public Administration	3	https://openalex.org/A5104350788
PA_PUB_0000005	IRAS_openalex.tsv	237-243	article	46	https://doi.org/10.1177/002085238004600303	3	https://openalex.org/W2025241891		Gregory D. Foster (Gregory D. Foster); Author_ID: https://openalex.org/A5109371074; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Methodological Approach to Administrative Development Intervention				closed	1980		FALSE		en	International Review of Administrative Sciences	3	https://openalex.org/A5109371074
PA_PUB_0000006	AJPA_openalex.tsv	508-516	article	39	https://doi.org/10.1111/j.1467-8500.1980.tb00475.x	03-Apr	https://openalex.org/W2033865499		Geoffrey Hawker (Geoffrey Hawker); Author_ID: https://openalex.org/A5064711180; ORCID: https://orcid.org/0000-0002-0809-5986; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A NEW PUBLIC ADMINISTRATION				closed	1980		FALSE		en	Australian Journal of Public Administration	238	https://openalex.org/A5064711180
PA_PUB_0000007	PAR_openalex.tsv	474-474	article	40	https://doi.org/10.2307/3110203	5	https://openalex.org/W2324495246		Laura Volk (Laura Volk); Author_ID: https://openalex.org/A5084834900; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A | Jeanne B. Hutchins (Jeanne B. Hutchins); Author_ID: https://openalex.org/A5009442533; ORCID: None; Position: middle; Countries: N/A; Institutions: N/A; Affiliations: N/A | Jean S. Doremus (Jean S. Doremus); Author_ID: https://openalex.org/A5050281190; ORCID: None; Position: last; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A National Cost-Containment Strategy for Long-Term Care	"Inflationary pressures which have accelerated, unrestrained by government, in the 1970s have shaken the economic order and brought about a crisis in confidence of the American people in their government. Public concern over high taxes and uncontrolled spending for essential services has fostered a conservative mood at the dawn of the new decade. There is surprising agreement among citizens today that the government is unable to curb inflation; moreover, there is a growing suspicion that government is responsible for its continued upward spiral. Whether the federal, state, and local governments can restore the public faith will depend on the ability of government officials to formulate cost-effective solutions to our social, economic, and political problems. The essay presented here used a cost-containment approach in the development of a national strategy for dealing with one such problem: long-term health care. The strategy was devised by a team of graduate students in public administration at the State University of New York at Brockport. The concept combines a proposed delivery system for long-term health care with an insurance plan which provides incentives for cost savings. The authors are indebted to Gerald Eggert, director of Access, a delivery system model for long-term health care in Rochester, New York, and also to Christine E. Bishop' for her insurance plan outlined in a Brandeis University discussion paper. The authors of this essay drew on the efforts of these two people in adapting and combining ideas and concepts to create a comprehensive national strategy for cost control of long-term health care. A compendium of interim strategies developed to alleviate problems identified in long-term health care is included in the essay. Compiled from an extensive search of the literature, these proposals are aimed at eradicating some of the basic causes of problems identified with reimbursement for long-term care. Further research is needed, not only to refine the proposal and develop legislation that embodies the concepts presented in the essay but to explore other governmental service areas where the cost-containment approach may also be applied. Introduction"			closed	1980		FALSE		en	Public Administration Review	2	
PA_PUB_0000008	PUBPERS_openalex.tsv	94-98	article	9	https://doi.org/10.1177/009102608000900206	2	https://openalex.org/W2738744740		W. Donald Heisel (W.D. Heisel); Author_ID: https://openalex.org/A5048182725; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Non-Bureaucratic View of Management Development				closed	1980		FALSE		en	Public Personnel Management	1	https://openalex.org/A5048182725
PA_PUB_0000009	CANPUB_openalex.tsv	416-416	article	6	https://doi.org/10.2307/3550023	2	https://openalex.org/W2035300514		Roger Suffling (Roger Suffling); Author_ID: https://openalex.org/A5086216820; ORCID: https://orcid.org/0000-0003-0763-7883; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A | Franklyn Griffiths (Franklyn Griffiths); Author_ID: https://openalex.org/A5067944041; ORCID: None; Position: last; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Northern Foreign Policy				closed	1980		FALSE		en	Canadian Public Policy	8	
PA_PUB_0000010	AJPA_openalex.tsv	293-300	article	39	https://doi.org/10.1111/j.1467-8500.1980.tb00460.x	03-Apr	https://openalex.org/W2101008115		Anne‐Marie Gardner (A. J. A. Gardner); Author_ID: https://openalex.org/A5016933549; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A PRACTITIONER'S VIEWPOINT	"For over a quarter of a century the work and thought of Robert Parker and Dick Spann have profoundly influenced the study of public administration in Australia. Their contributions to the discipline have been so wide‐ranging and so much part of an integrated whole that when dealing with matters of general principle their work is equally relevant to the Commonwealth, State and local levels of administration. However, as this appreciation of what their work meant for a practising administrator is written from the perspective of a former State public servant, I shall concentrate below on the field with which I am most familiar."			closed	1980		FALSE		en	Australian Journal of Public Administration	0	https://openalex.org/A5016933549
